Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga
Kaibutsu Oujo Specials,"Adventure,Comedy,Horror,Supernatural",6035,9493,6.55,3,4 min. per ep.,Special ,Dec 2010 , Oct 2011,2541,,,,,,,,,,False
Imouto sae Ireba Ii. (ONA) Specials,,6034,5090,6.55,2,2 min. per ep.,Special ,Jan 2018 , Mar 2018,14374,,,,,,,,,,False
IGPX: Immortal Grand Prix,"Sci-Fi,Sports",6033,7974,6.55,5,5 min. per ep.,TV ,Sep 2003 , Sep 2003,4560,,,,,,,,,,False
Lostorage Conflated WIXOSS: Missing Link,,6042,7240,6.55,1,25 min.,OVA ,Dec 2017 , Dec 2017,5843,,,,,,,,,,False
Masou Gakuen HxH Specials,,6075,3343,6.54,6,4 min. per ep.,Special ,Sep 2016 , Feb 2017,38327,,,,,,,,,,False
Hagure Yuusha no Aesthetica: Hajirai Ippai,"Comedy,Ecchi",6030,2888,6.55,6,4 min. per ep.,Special ,Sep 2012 , Feb 2013,47969,,,,,,,,,,False
ID-0,,6032,4211,6.55,12,24 min. per ep.,TV ,Apr 2017 , Jun 2017,21786,,,,,,,,,,False
Honto ni Atta! Reibai Sensei,"Comedy,Supernatural",6031,6249,6.55,22,5 min. per ep.,TV ,Apr 2011 , Sep 2011,8107,,,,,,,,,,False
Magic-kyun! First Live: Hoshinomori Summer Festa 2017 Encore Animation,,6043,11575,6.55,1,20 min.,Special ,Sep 2017 , Sep 2017,1324,,,,,,,,,,False
Girls & Panzer: Fushou Akiyama Yukari no Sensha Kouza - Extra,,6025,8482,6.55,1,26 min.,Special ,Dec 2018 , Dec 2018,4049,,,,,,,,,,False
Kimagure Orange☆Road: Shounen Jump Special,"Drama,Romance",6038,7990,6.55,1,24 min.,OVA ,Nov 1985 , Nov 1985,4693,,,,,,,,,,False
Gundam Build Divers: Battlogue,"Action,Sci-Fi",6028,9650,6.55,1,11 min.,ONA ,Nov 2020 , Nov 2020,3151,,,,,,,,,,False
Grancrest Senki: Tsuisou,"Action,Fantasy",6027,5336,6.55,1,23 min.,TV Special ,Mar 2018 , Mar 2018,12095,,,,,,,,,,False
Saiyuuki Reload: Zeroin,"Action,Adventure,Comedy,Drama,Supernatural",6058,5505,6.55,13,23 min. per ep.,TV ,Jan 2022 , Mar 2022,13120,,,,,,,,,,False
Gyakuten Saiban 6 Prologue,,6029,7579,6.55,1,8 min.,ONA ,Mar 2016 , Mar 2016,5531,,,,,,,,,,False
Busou Shinki: Install x Dream,"Action,Sci-Fi",6021,6718,6.55,1,24 min.,OVA ,Jun 2013 , Jun 2013,6597,,,,,,,,,,False
Glass no Kantai: La Legende du Vent de l'Univers,"Adventure,Sci-Fi",6026,5273,6.55,24,24 min. per ep.,TV ,Apr 2006 , Sep 2006,12682,,,,,,,,,,False
Cosmo Warrior Zero,"Action,Adventure,Sci-Fi",6022,7297,6.55,13,25 min. per ep.,TV ,Jul 2001 , Sep 2001,6259,,,,,,,,,,False
Brothers Conflict OVA,,6020,3735,6.55,2,22 min. per ep.,OVA ,Dec 2014 , Feb 2015,28315,,,,,,,,,,False
Aru Hi Inu no Kuni kara Tegami ga Kite,,6018,8795,6.55,1,11 min.,OVA ,Sep 2015 , Sep 2015,3288,,,,,,,,,,False
Kuromajo-san ga Tooru!!,"Comedy,Slice of Life",6041,5872,6.55,60,7 min. per ep.,TV ,Apr 2012 , Feb 2014,10012,,,,,,,,,,False
Dragon Quest: Dai no Daibouken,"Adventure,Fantasy",6023,9169,6.55,1,31 min.,Movie ,Jul 1991 , Jul 1991,3202,7.95,842.0,1636.0,11792.0,349,"Oct  10, 1989 to Nov  26, 1996",['Shounen'],Shounen Jump (Weekly),"Sanjou, Riku (Story), Inada, Koji (Art)",True
Magatsu Wahrheit: Zuerst,"Action,Fantasy",6012,3315,6.56,12,24 min. per ep.,TV ,Oct 2020 , Dec 2020,37056,,,,,,,,,,False
Kyoukai no Kanata: Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami,,6010,3197,6.56,5,8 min. per ep.,ONA ,Nov 2013 , Jul 2014,37767,,,,,,,,,,False
Mahoutsukai Sally,,6013,8312,6.56,109,25 min. per ep.,TV ,Dec 1966 , Dec 1968,5098,,,,,,,,,,False
