Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Sci-Fi,Supernatural,Mystery,Ecchi,Horror,Sports,Suspense,Girls Love,Gourmet,Boys Love,Avant Garde
2019-01,1,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2019-02,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2019-03,3,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2019-04,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2019-05,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-06,3,3,0,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0
2019-07,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2019-08,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2019-09,4,1,2,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2019-10,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11,1,1,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0
2020-01,1,1,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
2020-02,4,1,1,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0
2020-03,3,3,2,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0
2020-04,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05,2,1,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-06,3,0,2,2,1,0,1,2,1,1,0,0,0,1,0,0,0,0
2020-07,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-08,1,3,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-09,0,2,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0
2020-10,2,1,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0
2020-11,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-12,3,1,1,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0
2021-01,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02,2,2,1,0,0,0,1,0,2,2,0,1,0,1,0,0,0,0
2021-03,3,1,1,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-04,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2021-05,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-06,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-07,2,2,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0
2021-08,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-09,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
