Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Genres,Stream_type,Cluster
8.28,252.0,57,1755327,7.88,1028.0,703.0,24798.0,"Comedy,Drama,Romance,Supernatural",TV ,3
8.28,251.0,1544,199558,8.53,122.0,499.0,33894.0,"Boys Love,Slice of Life",TV ,3
8.32,218.0,1325,541464,8.22,390.0,344.0,46486.0,"Mystery,Supernatural,Suspense",TV ,3
8.28,255.0,490,427955,7.63,2048.0,11631.0,1365.0,"Adventure,Supernatural",Movie ,2
8.32,217.0,542,388967,8.52,129.0,577.0,29512.0,"Drama,Romance",TV ,3
8.32,216.0,245,752658,8.3,293.0,4325.0,4503.0,"Comedy,Drama,Romance",TV ,3
8.32,219.0,171,1012751,7.73,1575.0,2649.0,7496.0,"Drama,Fantasy,Romance,Slice of Life",Movie ,3
8.33,213.0,1967,100057,8.34,263.0,1077.0,16766.0,"Drama,Romance",TV ,3
8.33,207.0,56,1616120,8.17,447.0,1216.0,15179.0,"Drama,Slice of Life,Supernatural",TV ,3
8.34,204.0,79,1408208,8.51,135.0,465.0,35957.0,"Mystery,Romance,Supernatural",TV ,3
8.33,208.0,349,565434,8.53,120.0,2663.0,7460.0,"Action,Adventure,Romance",TV ,3
8.32,214.0,371,544732,8.66,66.0,377.0,43290.0,"Drama,Slice of Life,Supernatural",TV ,3
8.27,264.0,441,497920,8.39,217.0,998.0,17768.0,"Comedy,Slice of Life",TV ,3
8.39,174.0,232,879906,8.32,277.0,131.0,100952.0,"Adventure,Drama,Supernatural",TV ,3
8.39,172.0,276,683773,8.88,22.0,228.0,65925.0,"Drama,Slice of Life",TV ,3
8.39,170.0,242,1078155,8.0,746.0,74.0,146111.0,"Romance,Slice of Life",TV ,3
8.4,165.0,344,597191,8.74,43.0,23.0,265723.0,"Action,Adventure,Fantasy",TV ,3
8.38,176.0,162,910840,8.52,127.0,914.0,19268.0,"Action,Comedy,Mystery,Supernatural",TV ,3
8.41,160.0,757,304128,7.29,4817.0,10793.0,1518.0,"Drama,Sports",TV ,2
8.41,158.0,574,512692,8.25,359.0,36.0,198917.0,"Action,Adventure",ONA ,3
8.37,184.0,134,1346200,8.81,32.0,183.0,80812.0,"Drama,Fantasy,Ecchi",TV ,3
8.4,162.0,1560,125458,8.48,154.0,851.0,20823.0,"Drama,Romance,Sports",TV ,3
8.45,141.0,283,696460,8.2,420.0,219.0,68529.0,"Action,Comedy,Supernatural",TV ,3
8.41,155.0,522,439094,7.58,2357.0,9299.0,1845.0,"Drama,Fantasy",Movie ,2
8.45,139.0,434,543767,7.94,881.0,6727.0,2768.0,"Action,Sci-Fi,Suspense",TV ,3
8.48,124.0,36,2097080,8.61,87.0,109.0,113777.0,"Action,Comedy,Supernatural",TV ,3
8.46,133.0,673,434913,8.04,669.0,3679.0,5404.0,"Drama,Romance,Slice of Life",Movie ,3
8.47,128.0,1010,233411,8.59,95.0,3753.0,5292.0,"Action,Adventure,Mystery,Supernatural",ONA ,3
8.5,121.0,131,1136336,8.57,98.0,133.0,100814.0,"Action,Adventure,Comedy,Drama,Supernatural",TV ,3
8.49,122.0,519,398912,8.48,155.0,496.0,33990.0,"Drama,Suspense",TV ,3
8.51,113.0,327,680027,8.79,34.0,78.0,135897.0,"Drama,Romance,Slice of Life",TV ,3
8.51,115.0,1099,196125,8.77,40.0,486.0,34407.0,"Comedy,Sci-Fi,Slice of Life",TV ,3
8.51,111.0,222,873975,8.61,84.0,289.0,54795.0,"Action,Adventure,Drama",TV ,3
8.5,116.0,99,1249760,7.42,3514.0,1361.0,13939.0,"Action,Adventure,Comedy",TV ,3
8.52,107.0,188,879014,8.22,404.0,4164.0,4740.0,"Drama,Sci-Fi,Suspense",TV ,3
8.53,104.0,1,3980987,8.55,112.0,2.0,646733.0,"Action,Drama",TV ,1
8.55,91.0,9,3068804,8.21,405.0,10.0,428369.0,"Action,Fantasy",TV ,1
8.57,89.0,187,979853,8.66,64.0,2880.0,6886.0,"Drama,Romance,Slice of Life",Movie ,3
8.58,84.0,472,455297,7.57,2440.0,17819.0,716.0,"Comedy,Mystery,Romance",TV ,2
8.59,76.0,203,819355,8.33,275.0,718.0,24176.0,"Fantasy,Slice of Life",Movie ,3
8.62,74.0,2,3935452,8.69,51.0,13.0,389108.0,"Supernatural,Suspense",TV ,1
8.58,80.0,160,1037307,8.17,457.0,115.0,109593.0,"Action,Adventure",TV ,3
8.64,68.0,59,1624106,7.95,844.0,1402.0,13547.0,"Action,Adventure,Comedy,Sci-Fi",TV ,3
