MDS1,MDS2,Genres,Stream_type,Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members
30822.534883301047,-94905.04892952048,Drama,TV ,8.39,172.0,276,683773,8.88,22.0,228.0,65925.0
21219.028099574316,307503.0496837335,Romance,TV ,8.39,170.0,242,1078155,8.0,746.0,74.0,146111.0
-170716.13545045396,-201184.16510173812,Action,TV ,8.4,165.0,344,597191,8.74,43.0,23.0,265723.0
-62825.26090094085,116587.07012427314,Action,TV ,8.38,176.0,162,910840,8.52,127.0,914.0,19268.0
55684.80799806566,-479235.45933832537,Drama,TV ,8.41,160.0,757,304128,7.29,4817.0,10793.0,1518.0
195702.57268351107,-231399.00343882182,Action,ONA ,8.41,158.0,574,512692,8.25,359.0,36.0,198917.0
-100979.44061769391,554324.3050613017,Drama,TV ,8.37,184.0,134,1346200,8.81,32.0,183.0,80812.0
113904.96233936159,-648986.3001108919,Drama,TV ,8.4,162.0,1560,125458,8.48,154.0,851.0,20823.0
30371.265248115636,-81980.30401215768,Action,TV ,8.45,141.0,283,696460,8.2,420.0,219.0,68529.0
25208.68591725314,-347751.37460276624,Drama,Movie ,8.41,155.0,522,439094,7.58,2357.0,9299.0,1845.0
4596.368491837155,-245146.20741676365,Action,TV ,8.45,139.0,434,543767,7.94,881.0,6727.0,2768.0
-241291.76493980002,1292581.8683997737,Action,TV ,8.48,124.0,36,2097080,8.61,87.0,109.0,113777.0
30486.50056586107,-350849.9553884436,Drama,Movie ,8.46,133.0,673,434913,8.04,669.0,3679.0,5404.0
76994.76262958668,-547174.3750793952,Action,ONA ,8.47,128.0,1010,233411,8.59,95.0,3753.0,5292.0
-34942.77594847593,354218.10876506957,Action,TV ,8.5,121.0,131,1136336,8.57,98.0,133.0,100814.0
65376.97195142122,-379546.4552353095,Drama,TV ,8.49,122.0,519,398912,8.48,155.0,496.0,33990.0
97048.38592513965,-83171.50951610891,Drama,TV ,8.51,113.0,327,680027,8.79,34.0,78.0,135897.0
111297.66845419076,-577024.63289126,Comedy,TV ,8.51,115.0,1099,196125,8.77,40.0,486.0,34407.0
-20435.601209279535,88405.27846362464,Action,TV ,8.51,111.0,222,873975,8.61,84.0,289.0,54795.0
-144510.1200947352,445421.21285312594,Action,TV ,8.5,116.0,99,1249760,7.42,3514.0,1361.0,13939.0
-69695.26463248846,82416.24289712403,Drama,TV ,8.52,107.0,188,879014,8.22,404.0,4164.0,4740.0
-743961.4486142747,3165223.634494616,Action,TV ,8.53,104.0,1,3980987,8.55,112.0,2.0,646733.0
-212987.7364001413,2306790.2486394993,Action,TV ,8.55,91.0,9,3068804,8.21,405.0,10.0,428369.0
-90620.33543359928,181017.50502070843,Drama,Movie ,8.57,89.0,187,979853,8.66,64.0,2880.0,6886.0
18802.604114546677,-332484.8193967671,Comedy,TV ,8.58,84.0,472,455297,7.57,2440.0,17819.0,716.0
-37003.55714823902,28627.014286834656,Fantasy,Movie ,8.59,76.0,203,819355,8.33,275.0,718.0,24176.0
-869667.8799494075,3046101.194794698,Other,TV ,8.62,74.0,2,3935452,8.69,51.0,13.0,389108.0
-4729.934030252725,259578.55521096676,Action,TV ,8.58,80.0,160,1037307,8.17,457.0,115.0,109593.0
-230238.3883752343,809590.2914870307,Action,TV ,8.64,68.0,59,1624106,7.95,844.0,1402.0,13547.0
147873.18241364768,1687567.3385879179,Action,TV ,8.64,67.0,26,2385470,9.22,4.0,3.0,603122.0
-257674.15157464828,984955.563597604,Drama,TV ,8.67,58.0,51,1801213,8.63,77.0,647.0,26762.0
13106.36417852852,58614.19945068788,Adventure,TV ,8.67,56.0,201,837459,8.72,47.0,179.0,81657.0
-39000.955937463455,620018.1630345306,Adventure,TV ,8.68,53.0,94,1396229,8.77,37.0,62.0,156837.0
-13879.733303334979,-135549.0020359116,Adventure,TV ,8.65,66.0,460,654412,7.94,879.0,2259.0,8621.0
-308918.418562192,1415136.3045182063,Drama,TV ,8.67,57.0,21,2231890,8.59,94.0,189.0,78710.0
-6089.224105440457,-113002.6076095348,Comedy,TV ,8.78,35.0,273,674564,8.9,18.0,781.0,22415.0
-460887.8536909109,1930563.248613919,Drama,Movie ,8.87,24.0,11,2768297,8.39,219.0,161.0,86632.0
-287016.91587019194,1062322.9791872401,Action,TV ,8.76,37.0,42,1883277,7.15,6493.0,1082.0,16725.0
96503.11758386645,387028.25198462215,Drama,TV ,8.83,27.0,155,1138519,9.15,5.0,29.0,238291.0
51710.9876363885,837514.4354146053,Action,TV ,9.08,2.0,255,1587143,8.55,110.0,18.0,296164.0
-444723.3533308358,1745416.4435827576,Drama,TV ,9.08,4.0,13,2584616,8.52,131.0,1540.0,12585.0
